Percent_NO,OBJECTID
53.0612,1
44.3908,2
41.5116,3
60.8051,4
51.7333,5
85.7678,6
22.0217,7
11.2263,8
46.0145,9
57.2932,10
13.0778,11
46.9841,12
38.9078,13
53.4979,14
79.6053,15
32.4627,16
55.7018,17
83.4671,18
62.0229,19
43.2927,20
55.5901,21
71.8243,22
75.7895,23
-100.0,24
66.2551,25
53.1703,26
54.6632,27
29.1096,28
45.8373,29
34.0369,30
35.3783,31
77.8727,32
44.9048,33
21.4168,34
41.5567,35
40.0,36
20.9068,37
41.0742,38
32.4921,39
20.1299,40
39.9558,41
39.3189,42
4.09639,43
10.7664,44
17.8042,45
73.3929,46
34.2636,47
39.8758,48
27.2973,49
59.0909,50
57.3034,51
32.6223,52
19.7133,53
21.131,54
16.0734,55
23.8596,56
27.0089,57
-100.0,58
33.6933,59
9.64912,60
17.8827,61
60.6852,62
2.02312,63
46.7243,64
24.3499,65
18.2013,66
17.6991,67
10.4972,68
54.9277,69
28.4483,70
38.1818,71
46.1652,72
41.5385,73
74.149,74
64.6388,75
40.2562,76
48.9324,77
57.6705,78
25.8434,79
40.1538,80
28.169,81
1.27389,82
14.5051,83
76.6094,84
17.8723,85
44.058,86
15.27,87
27.9503,88
85.1759,89
20.0,90
42.5982,91
33.724,92
49.7449,93
25.0,94
39.1011,95
12.1324,96
30.4348,97
2.8169,98
14.2857,99
-100.0,100
0.0,101
0.0,102
20.696,103
41.3174,104
26.2911,105
20.2212,106
31.7881,107
59.4595,108
36.7609,109
33.4294,110
13.522,111
0.0,112
23.7812,113
2.0362,114
23.5474,115
43.9024,116
31.5904,117
16.1235,118
7.05467,119
60.0849,120
7.05128,121
12.1762,122
24.8276,123
42.2104,124
15.748,125
31.4815,126
29.0727,127
42.5989,128
49.6879,129
70.7317,130
49.3333,131
34.1379,132
53.9286,133
40.3509,134
47.0313,135
63.9901,136
67.0851,137
35.8595,138
23.4343,139
4.14938,140
64.418,141
66.0194,142
54.6366,143
39.1577,144
42.5239,145
23.7856,146
-100.0,147
82.9225,148
37.8378,149
67.931,150
55.9908,151
5.92593,152
25.4211,153
36.625,154
9.69072,155
0.0,156
0.0,157
6.11855,158
14.1946,159
1.81818,160
7.20222,161
0.0,162
0.0,163
12.043,164
45.9695,165
5.85034,166
8.38816,167
27.9115,168
22.7106,169
25.7436,170
8.35509,171
6.38821,172
47.963,173
18.4,174
47.0014,175
6.76923,176
49.1322,177
32.8482,178
57.6119,179
60.7143,180
32.8144,181
32.6923,182
36.9128,183
11.4865,184
21.7262,185
24.031,186
11.9608,187
20.8403,188
11.4148,189
22.54,190
3.04569,191
21.6288,192
30.6954,193
27.8726,194
2.21402,195
3.65297,196
44.8155,197
8.28402,198
13.468,199
13.0435,200
47.0919,201
28.3088,202
17.9361,203
24.4389,204
10.8527,205
11.3636,206
10.6339,207
46.1397,208
16.129,209
24.6377,210
33.3333,211
32.8294,212
50.0,213
21.2042,214
13.8158,215
40.8451,216
22.9261,217
35.5283,218
55.8824,219
42.6256,220
49.884,221
46.0037,222
22.5552,223
33.2609,224
13.6405,225
28.9951,226
12.0238,227
23.2036,228
3.44062,229
18.9313,230
6.1017,231
26.4302,232
26.1553,233
9.66981,234
2.54958,235
2.28471,236
0.0,237
33.119,238
44.5026,239
31.4856,240
13.1429,241
35.1097,242
9.20771,243
27.3458,244
28.6585,245
36.8732,246
32.7044,247
26.9291,248
5.22876,249
37.6623,250
57.3892,251
31.4763,252
35.8279,253
44.4103,254
31.2943,255
63.8015,256
57.6892,257
43.3628,258
32.3353,259
42.623,260
22.9829,261
81.8584,262
77.3481,263
47.2651,264
55.9382,265
47.1901,266
50.0,267
33.6595,268
33.8824,269
59.9251,270
40.0602,271
49.2362,272
59.8901,273
36.7609,274
46.421,275
46.127,276
40.678,277
45.275,278
53.202,279
35.7009,280
30.2799,281
67.9468,282
71.1491,283
59.2075,284
37.6087,285
25.4386,286
25.1106,287
15.6589,288
15.8307,289
14.1379,290
0.0,291
19.9557,292
17.9054,293
33.6673,294
50.0986,295
42.8012,296
57.638,297
46.99,298
54.7529,299
1.57233,300
39.2045,301
65.0152,302
32.2459,303
36.4312,304
9.8513,305
9.1954,306
5.06608,307
29.1506,308
28.2456,309
31.4483,310
14.8087,311
38.6463,312
16.5605,313
51.3308,314
43.9394,315
32.4219,316
0.0,317
1.19522,318
29.9342,319
48.6441,320
38.1342,321
35.6234,322
22.3077,323
43.6288,324
50.813,325
19.0722,326
34.8126,327
20.0807,328
31.6017,329
39.185,330
22.8675,331
43.6137,332
34.4672,333
24.774,334
25.7453,335
50.0,336
40.3537,337
28.8889,338
22.833,339
35.1171,340
44.5846,341
44.9321,342
17.4157,343
18.2336,344
45.5556,345
32.0755,346
49.0783,347
44.9775,348
63.3787,349
25.0545,350
23.7154,351
30.7832,352
47.2265,353
60.2716,354
25.4739,355
48.3759,356
65.1026,357
59.867,358
54.4177,359
18.8088,360
45.7627,361
34.749,362
48.1419,363
30.8057,364
71.8861,365
49.6644,366
45.6019,367
52.815,368
0.0,369
20.4522,370
0.0,371
30.9859,372
30.7902,373
41.483,374
48.1536,375
39.6,376
35.6771,377
47.496,378
40.035,379
5.33333,380
45.6766,381
9.57747,382
18.1818,383
15.7143,384
1.13086,385
36.2524,386
17.2881,387
0.0,388
44.9799,389
4.69484,390
37.3434,391
19.7239,392
2.62664,393
41.9552,394
41.6667,395
46.6543,396
52.7415,397
36.5385,398
36.2637,399
62.1622,400
36.5559,401
54.9708,402
41.384,403
40.1786,404
38.2353,405
60.2753,406
45.2611,407
20.6304,408
7.0028,409
17.4342,410
15.4525,411
0.0,412
12.1581,413
26.5625,414
21.7672,415
21.3675,416
26.9504,417
37.6276,418
27.5,419
9.51557,420
34.5196,421
14.2703,422
41.2121,423
17.9024,424
-100.0,425
60.7143,426
56.4721,427
57.9297,428
41.7553,429
65.2563,430
61.5965,431
-100.0,432
42.3127,433
28.8889,434
40.458,435
21.3198,436
25.6842,437
43.5173,438
47.0828,439
53.4307,440
24.1758,441
43.9469,442
35.7357,443
62.3169,444
49.7577,445
77.5614,446
54.7445,447
36.0374,448
52.6316,449
56.7185,450
