name,value
Friendship Hghts/AU Park/Tenleytown,9552666
Hawthorne/Chevy Chase,8560019
Cap Hill/Lincoln Park,7096809
Takoma/Brightwood,6814243
Colonial Village/Shepherd Pk,6757982
Brightwood/Petworth,6492888
Dupont Circle,6311915
Kalorama/Adams Morgan/Lanier Hghts,6287133
Union Stn/Stanton Pk/Kingman Pk,6209229
Shaw/Logan Circle,6129097
N Cleveland Pk/Van Ness,6045712
Fairfax Village/Naylor Gardens/Hillcrest,5720803
Cathedral Hghts/Glover Park,5660351
Spring Valley/Palisades/Wesley Hghts,5654719
Columbia Hghts/ Mt Pleasant,5472554
Cleveland Park/Woodley Park,5454223
Georgetown/Burleith,5111868
Michigan Park/University Heights,4943372
City Average,4815060
Lamont Riggs/Fort Totten,4431387
Brookland/Brentwood/Langdon,4253814
Twining/Fairlawn/Fort Dupont,3906665
Woodland/Fort Stanton/Garfield Hghts,3798868
West End/Foggy Bottom,3788151
Deanwood/Burrville,3662437
Cap View/Marshall Hghts/Benning Hghts,3596101
Downtown/Mt Vernon Sq/N Capitol St,3587195
Congress Hghts/Bellevue,3564922
Southwest/Buzzard Point,3284359
Ivy City/Trinidad/Carver Langston,3276914
Le Droit Park/Cardozo,2995289
Douglas/Shipley Terrace,2693660
Woodridge/Ft Lincoln/Gateway,2649743
Eastland Gardens/Kenilworth,2594816
Bloomingdale/Truxton Cir/Eckington,2484585
Mayfair/Hillbrook/Mahaning Hghts,2231936
Benning/Greenway/Dupont Park,1950152
Sheridan/Barry Farm/Buena Vista,1814986
Historic Anacostia,1670637
Navy Yard,1125942
