NBH_NAMES,C_P_Bach,D_Bach,OBJECTID
Congress Heights Bellevue Washington Highlands,40.2,343,1
Douglas Shipley Terrace,12.7,74,2
Woodland/Fort Stanton Garfield Heights Knox Hill,10.6,172,3
Near Southeast Navy Yard,92.0,3145,4
River Terrace Benning Greenway Dupont Park,-24.6,-417,5
Downtown Chinatown Penn Quarters Mount Vernon Square North Capitol Street,47.9,924,6
West End Foggy Bottom GWU,5.0,1814,7
Mayfair Hillbrook Mahaning Heights,-0.4,5,8
Deanwood Burrville Grant Park Lincoln Heights Fairmont Heights,35.6,505,9
Shaw Logan Circle,21.6,3092,10
Eastland Gardens Kenilworth,-22.6,-65,11
Ivy City Arboretum Trinidad Carver Langston,79.6,1301,12
Georgetown Burleith/Hillandale,-6.9,819,13
Dupont Circle Connecticut Avenue/K Street,15.4,908,14
Howard University Le Droit Park Cardozo/Shaw,30.1,3214,15
Southwest Employment Area Southwest/Waterfront Fort McNair Buzzard Point,53.0,103,16
Capitol View Marshall Heights Benning Heights,29.1,296,17
Spring Valley Palisades Wesley Heights Foxhall Crescent Foxhall Village Georgetown Reservoir,1.1,95,18
North Michigan Park Michigan Park University Heights,19.1,424,19
North Cleveland Park Forest Hills Van Ness,5.2,1623,20
Brightwood Park Crestwood Petworth,30.3,3791,21
Friendship Heights American University Park Tenleytown,2.0,916,22
Lamont Riggs Queens Chapel Fort Totten Pleasant Hill,19.2,1090,23
Takoma Brightwood Manor Park,8.2,1084,24
Colonial Village Shepherd Park North Portal Estates,1.9,99,25
Hawthorne Barnaby Woods Chevy Chase,3.9,391,26
Historic Anacostia,102.1,122,27
Fairfax Village Naylor Gardens Hillcrest Summit Park,-3.1,-100,28
Sheridan Barry Farm Buena Vista,-31.7,-122,29
Twining Fairlawn Randle Highlands Penn Branch Fort Davis Park Fort Dupont,13.9,372,30
Union Station Stanton Park Kingman Park,33.3,2235,31
Kalorama Heights Adams Morgan Lanier Heights,4.5,2730,32
Edgewood Bloomingdale Truxton Circle Eckington,69.0,3779,33
Columbia Heights Mt. Pleasant Pleasant Plains Park View,48.9,8162,34
Brookland Brentwood Langdon,39.1,638,35
Woodridge Fort Lincoln Gateway,11.4,425,36
Cathedral Heights McLean Gardens Glover Park,2.6,1111,37
Cleveland Park Woodley Park Massachusetts Avenue Heights Woodland-Normanstone Terrace,5.4,734,38
Capitol Hill Lincoln Park,10.0,1907,39
